项目编码,受助单位名称,资助金额
120983,中国妇女发展基金会,300000
118188,中国妇女发展基金会,1000000
118736,中国妇女发展基金会,757600
114580,中国妇女发展基金会,
123852,中国妇女发展基金会,1800000
91002,山东省中国石油大学教育发展基金会,
108483,中国公安民警英烈基金会,7000000
64022,中国光彩事业基金会,4000000
64023,中国光彩事业基金会,60000
65596,中国光彩事业基金会,2000000
91095,中国光彩事业基金会,600000
91106,中国光彩事业基金会,2378740.3
90902,中国光彩事业基金会,8000000
90904,中国光彩事业基金会,10000000
107476,中国光彩事业基金会,
120980,中国光彩事业基金会,600000
120984,中国光彩事业基金会,800000
120984,中国光彩事业基金会,100000
79778,中国光华科技基金会,4031303.73
89006,中国光华科技基金会,7875000
97516,中国光华科技基金会,4503364.49
93137,中国国际文化交流基金会,
81062,山东大学教育基金会,280000
81845,中国华文教育基金会,129600
81847,中国华文教育基金会,1000000
95411,中国华文教育基金会,1000000
110391,中国华文教育基金会,469400
89829,中国华夏文化遗产基金会,1000000
69780,安徽省残疾人福利基金会,1400000
81340,安徽省儿童少年基金会,200000
95505,安徽省儿童少年基金会,20000
105921,安徽省儿童少年基金会,1170000
83719,安徽省儿童少年基金会,675640
110640,安徽省儿童少年基金会,100000
66102,安徽省老年基金会,100000
75592,安徽省青少年发展基金会,1258050
96887,安徽省青少年发展基金会,4858488
96318,安徽省青少年发展基金会,1190000
83512,安徽省青少年发展基金会,6648345
111039,安徽省中小学幼儿教师奖励基金会,100000
85999,中国科学技术大学教育基金会,4000000
80154,中国教育发展基金会,6500000
80152,中国教育发展基金会,6000000
80156,中国教育发展基金会,1300000
89742,中国教育发展基金会,4500000
91113,中国教育发展基金会,6000000
91114,中国教育发展基金会,6500000
91115,中国教育发展基金会,1300000
104585,中国教育发展基金会,520000
121313,中国教育发展基金会,6500000
121312,中国教育发展基金会,6000000
121314,中国教育发展基金会,1100000
103968,杭州市关爱孤儿基金会,500000
103666,中国金融教育发展基金会,190000
103667,中国金融教育发展基金会,184000
110451,中国金融教育发展基金会,2000000
110169,中国金融教育发展基金会,110000
67789,青田县人民教育基金会,519572
104785,中国老龄事业发展基金会,
96441,中国留学人才发展基金会,2000000
106976,中国留学人才发展基金会,500000
63988,中国绿化基金会,140000
64020,中国绿化基金会,1000000
107506,中国绿化基金会,280000
121872,中国绿化基金会,100000
102930,缙云县人民教育基金会,1000000
106473,中国农业大学教育基金会,150000
94622,浙江省新华爱心教育基金会,300000
125511,浙江省新华爱心教育基金会,300000
65632,浙江省青少年发展基金会,500000
83530,浙江省青少年发展基金会,4356847.1
96899,浙江省青少年发展基金会,2731392.8
81305,中国青年创业就业基金会,3000000
91130,中国青年创业就业基金会,5000000
97473,中国青年创业就业基金会,1500000
95892,中国青年创业就业基金会,
65696,中国青少年发展基金会,500000
63550,中国青少年发展基金会,
67908,中国青少年发展基金会,
91012,中国青少年发展基金会,559440
92796,中国青少年发展基金会,100000
99797,中国青少年发展基金会,100000
106020,中国青少年发展基金会,849999.11
106220,中国青少年发展基金会,4000000
106478,中国青少年发展基金会,100000
106479,中国青少年发展基金会,180000
106487,中国青少年发展基金会,6000000
108075,中国青少年发展基金会,1950000
118195,中国青少年发展基金会,551340
125065,中国青少年发展基金会,4000000
106492,杭州市上城区教育发展基金会,3000000
84030,中国社会福利基金会,200000
74457,中国社会福利基金会,30000
89503,中国社会福利基金会,50000
96438,中国社会福利基金会,
99883,中国社会福利基金会,30000
103413,中国社会福利基金会,150000
92770,中国社会福利基金会,260000
91000,中国社会福利基金会,500000
106220,中国社会福利基金会,300000
93137,中国宋庆龄基金会,
90993,中国宋庆龄基金会,
110449,中国文物保护基金会,1000000
64932,中国文学艺术基金会,350000
90070,中国文学艺术基金会,10000000
90909,中国西部人才开发基金会,10000000
84056,中国西部人才开发基金会,10000000
98427,中国艺术节基金会,305777
118424,浙江省扶贫基金会,2600000
99831,中国友好和平发展基金会,1000000
114809,中国友好和平发展基金会,
68336,中国志愿服务基金会,100000
123853,中国志愿服务基金会,2542474
90925,中华健康快车基金会,300000
91236,中华健康快车基金会,50000
90999,中华健康快车基金会,
65624,中华少年儿童慈善救助基金会,350000
98329,中华少年儿童慈善救助基金会,2085480
89740,中华少年儿童慈善救助基金会,256000
106528,中华少年儿童慈善救助基金会,180000
106531,中华少年儿童慈善救助基金会,180000
112278,中华少年儿童慈善救助基金会,80044.53
65634,中华社会救助基金会,800000
68650,中华社会救助基金会,203000
68661,中华社会救助基金会,800000
91317,中华社会救助基金会,1000000
104165,中华社会救助基金会,800000
92701,中华社会救助基金会,2000000
92798,中华社会救助基金会,2000000
99797,中华社会救助基金会,100000
106477,中华社会救助基金会,435000
107446,中华社会救助基金会,
110446,中华社会救助基金会,5531153.74
110446,中华社会救助基金会,1500000
121136,中华社会救助基金会,220000
63988,中华思源工程扶贫基金会,219451.87
89741,中华思源工程扶贫基金会,1000000
95585,中华思源工程扶贫基金会,100000
110446,中华思源工程扶贫基金会,3602252.09
90903,中华文学基金会,4811356
84066,中华文学基金会,2000000
67860,武义县教育基金会,155000
123481,中央财经大学教育基金会,100000
92786,绍兴市上虞区人民教育基金会,150000
69746,北京市残疾人福利基金会,2784713.15
69767,北京市残疾人福利基金会,2000000
100042,北京市残疾人福利基金会,560439.6
87725,北京市残疾人福利基金会,500000
110550,北京市残疾人福利基金会,2220400
110579,北京市残疾人福利基金会,309464
74059,北京岐黄中医药文化发展基金会,60000
